time,area_np,area_nd,area_si,area_lp,area_ld,light,nutrient
1985-12-31,0.0,0.0,0.0,2452471939072.0,2452392771584.0,2452392771584.0,0.0
1986-12-31,0.0,0.0,647221504.0,2452336148480.0,2421664776192.0,2421664776192.0,647221504.0
1987-12-31,0.0,0.0,1313653120.0,2452471939072.0,2445044613120.0,2443964055552.0,1313653120.0
1988-12-31,0.0,0.0,9701763072.0,2445820035072.0,2381073612800.0,2380568461312.0,9701763072.0
1989-12-31,0.0,0.0,39840064.0,2452471939072.0,2442775756800.0,2442755309568.0,39840064.0
1990-12-31,0.0,0.0,71364345856.0,2450829869056.0,2430995529728.0,2374120767488.0,71364345856.0
1991-12-31,0.0,0.0,81781981184.0,2452471939072.0,2445052477440.0,2365038526464.0,81781981184.0
1992-12-31,0.0,0.0,28021907456.0,2452471939072.0,2452471939072.0,2424450056192.0,28021907456.0
1993-12-31,0.0,0.0,131401039872.0,2412408995840.0,2338318188544.0,2230657220608.0,131401039872.0
1994-12-31,0.0,0.0,48912687104.0,2452471939072.0,2450342019072.0,2401429356544.0,48912687104.0
1995-12-31,0.0,0.0,100165959680.0,2449734631424.0,2332331606016.0,2241568964608.0,100165959680.0
1996-12-31,0.0,0.0,180699103232.0,2452471939072.0,2451249037312.0,2271342755840.0,180699103232.0
1997-12-31,0.0,0.0,130904080384.0,2433578696704.0,2352256909312.0,2239217795072.0,130904080384.0
1998-12-31,0.0,0.0,207655387136.0,2271873859584.0,2179296133120.0,2078419714048.0,207655387136.0
1999-12-31,0.0,0.0,99174481920.0,2452471939072.0,2363233927168.0,2297297371136.0,99174481920.0
2000-12-31,0.0,0.0,310176776192.0,2452471939072.0,2418085986304.0,2114978971648.0,310176776192.0
2001-12-31,0.0,0.0,383282577408.0,2452471939072.0,2420893286400.0,2039787945984.0,383282577408.0
2002-12-31,0.0,0.0,677998624768.0,2451980419072.0,2300884025344.0,1691441954816.0,677998624768.0
2003-12-31,0.0,0.0,673869070336.0,2398428069888.0,2135713120256.0,1710539145216.0,673869070336.0
2004-12-31,0.0,0.0,596812890112.0,2417173725184.0,2349322993664.0,1820345499648.0,596812890112.0
2005-12-31,0.0,0.0,628475363328.0,2439382040576.0,2367755911168.0,1808556883968.0,628475363328.0
2006-12-31,0.0,0.0,704500596736.0,2452471939072.0,2395482619904.0,1743046705152.0,704500596736.0
2007-12-31,0.0,0.0,768163840000.0,2335537627136.0,2253696532480.0,1624284987392.0,768163840000.0
2008-12-31,0.0,0.0,1538001993728.0,2288684630016.0,2064485711872.0,913613455360.0,1538001993728.0
2009-12-31,0.0,0.0,1103516532736.0,2435872456704.0,2377877815296.0,1346696118272.0,1103516532736.0
2010-12-31,0.0,0.0,1239872962560.0,2383614836736.0,2228177862656.0,1205896871936.0,1239872962560.0
2011-12-31,0.0,433410560.0,1261334036480.0,2358323183616.0,2253407911936.0,1189322424320.0,1261334036480.0
2012-12-31,0.0,2842172416.0,1569613545472.0,2360381276160.0,2168695160832.0,878780284928.0,1569613545472.0
2013-12-31,0.0,327325248.0,1384912650240.0,2452471939072.0,2450165334016.0,1066878107648.0,1384912650240.0
2014-12-31,0.0,0.0,1157420154880.0,2399020515328.0,2260987805696.0,1282988703744.0,1157420154880.0
2015-12-31,0.0,0.0,1645395312640.0,2412188532736.0,2201731465216.0,797092610048.0,1645395312640.0
