time,area_np,area_nd,area_si,area_lp,area_ld,light,nutrient
1985-12-31,0.0,0.0,13379764224.0,1562871595008.0,1562871595008.0,1549492027392.0,13379764224.0
1986-12-31,0.0,0.0,3722510336.0,1562871595008.0,1562871595008.0,1559149281280.0,3722510336.0
1987-12-31,0.0,0.0,9577143296.0,1562871595008.0,1562871595008.0,1553294557184.0,9577143296.0
1988-12-31,0.0,0.0,64683147264.0,1562871595008.0,1562871595008.0,1498188611584.0,64683147264.0
1989-12-31,0.0,0.0,135478231040.0,1562871595008.0,1562871595008.0,1427393478656.0,135478231040.0
1990-12-31,0.0,0.0,242418925568.0,1562871595008.0,1561105661952.0,1320452620288.0,242418925568.0
1991-12-31,0.0,0.0,372992278528.0,1562871595008.0,1562871595008.0,1189879349248.0,372992278528.0
1992-12-31,0.0,0.0,423664844800.0,1562871595008.0,1562871595008.0,1139206782976.0,423664844800.0
1993-12-31,0.0,0.0,373493202944.0,1562871595008.0,1562871595008.0,1189378523136.0,373493202944.0
1994-12-31,0.0,0.0,592131850240.0,1562871595008.0,1562871595008.0,970739744768.0,592131850240.0
1995-12-31,0.0,0.0,617319563264.0,1562871595008.0,1562871595008.0,945552031744.0,617319563264.0
1996-12-31,0.0,0.0,845830356992.0,1562871595008.0,1562871595008.0,717041303552.0,845830356992.0
1997-12-31,0.0,0.0,866385264640.0,1562871595008.0,1562871595008.0,696486395904.0,866385264640.0
1998-12-31,0.0,0.0,958663163904.0,1562871595008.0,1549615104000.0,604208496640.0,958663163904.0
1999-12-31,0.0,0.0,827596668928.0,1562871595008.0,1562871595008.0,735274991616.0,827596668928.0
2000-12-31,0.0,0.0,842865770496.0,1562871595008.0,1562871595008.0,720005824512.0,842865770496.0
2001-12-31,0.0,0.0,686602518528.0,1562871595008.0,1562871595008.0,876269142016.0,686602518528.0
2002-12-31,0.0,0.0,667472560128.0,1562871595008.0,1562871595008.0,895399100416.0,667472560128.0
2003-12-31,0.0,0.0,653813678080.0,1562871595008.0,1562871595008.0,909057982464.0,653813678080.0
2004-12-31,0.0,0.0,574901911552.0,1562871595008.0,1562871595008.0,987969748992.0,574901911552.0
2005-12-31,0.0,0.0,594511855616.0,1562871595008.0,1562871595008.0,968359804928.0,594511855616.0
2006-12-31,0.0,0.0,535148527616.0,1562871595008.0,1562871595008.0,1027723100160.0,535148527616.0
2007-12-31,0.0,0.0,312992628736.0,1562871595008.0,1562871595008.0,1249879130112.0,312992628736.0
2008-12-31,0.0,0.0,611758505984.0,1562871595008.0,1562871595008.0,951113089024.0,611758505984.0
2009-12-31,0.0,6813812224.0,700056797184.0,1562871595008.0,1562871595008.0,862814732288.0,700056797184.0
2010-12-31,0.0,24545602.0,778499260416.0,1562871595008.0,1562871595008.0,784372334592.0,778499260416.0
2011-12-31,0.0,0.0,692157284352.0,1562871595008.0,1562871595008.0,870714376192.0,692157284352.0
2012-12-31,0.0,27892490240.0,892817178624.0,1562871595008.0,1558875340800.0,669634789376.0,892817178624.0
2013-12-31,0.0,124339322880.0,1283201695744.0,1562871595008.0,1546610147328.0,279669833728.0,1283201695744.0
2014-12-31,0.0,0.0,1360790290432.0,1562871595008.0,1562871595008.0,202081222656.0,1360790290432.0
2015-12-31,0.0,0.0,1290259660800.0,1562871595008.0,1562871595008.0,272612130816.0,1290259660800.0
